Career,Career_Category,Career_Description,Skill,Skill_Category,Required_Level,Importance
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Python,Programming,9,Critical
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",SQL,Data,8,Critical
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Statistics,Mathematics & Data,9,Critical
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Machine Learning,Artificial Intelligence,9,Critical
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Data Visualization,Data Analysis,7,Important
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Pandas,Data Analysis,8,Important
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Data Cleaning,Data Analysis,8,Important
Data Scientist,Data & AI,"Uses statistics, programming, and machine learning to turn data into predictions and decisions.",Communication,Professional Skill,7,Important
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",SQL,Data,9,Critical
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Excel,Data Analysis,8,Critical
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Python,Programming,7,Important
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Statistics,Mathematics & Data,8,Critical
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Data Visualization,Data Analysis,8,Critical
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Power BI,Business Intelligence,8,Critical
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Data Cleaning,Data Analysis,8,Important
Data Analyst,Data & Analytics,"Analyzes business and operational data to uncover trends, insights, and actionable recommendations.",Communication,Professional Skill,7,Important
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Python,Programming,9,Critical
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Machine Learning,Artificial Intelligence,9,Critical
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Statistics,Mathematics & Data,8,Critical
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Data Structures,Computer Science,8,Important
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",SQL,Data,7,Important
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",TensorFlow/PyTorch,AI Frameworks,8,Critical
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Git,Developer Tools,7,Important
Machine Learning Engineer,Data & AI,"Builds, evaluates, and deploys machine learning systems that operate reliably in real applications.",Model Deployment,Professional Skill,8,Critical
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Python,Programming,9,Critical
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Machine Learning,Artificial Intelligence,9,Critical
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Deep Learning,Artificial Intelligence,9,Critical
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Statistics,Mathematics & Data,8,Important
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",TensorFlow/PyTorch,AI Frameworks,8,Critical
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",APIs,Backend Development,7,Important
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Git,Developer Tools,7,Important
AI Engineer,Data & AI,"Builds AI-powered applications by combining machine learning, deep learning, APIs, and deployment practices.",Model Deployment,Professional Skill,8,Critical
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Programming,Software Development,9,Critical
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Data Structures,Computer Science,8,Critical
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Algorithms,Computer Science,8,Critical
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Git,Developer Tools,8,Important
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",SQL,Data,7,Important
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",APIs,Backend Development,8,Important
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Testing,Software Quality,8,Important
Software Engineer,Software Development,"Designs, builds, tests, and maintains reliable software systems.",Problem Solving,Professional Skill,9,Critical
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",HTML,Frontend Development,9,Critical
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",CSS,Frontend Development,9,Critical
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",JavaScript,Frontend Development,9,Critical
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",React,Frontend Development,8,Critical
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",Responsive Design,Professional Skill,8,Important
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",Git,Developer Tools,7,Important
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",APIs,Backend Development,7,Important
Frontend Developer,Software Development,"Builds accessible, responsive, and interactive user interfaces for the web.",UI/UX Fundamentals,Professional Skill,7,Important
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",Programming,Software Development,9,Critical
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",APIs,Backend Development,9,Critical
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",SQL,Data,8,Critical
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",Database Design,Professional Skill,8,Critical
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",Git,Developer Tools,8,Important
Backend Developer,Software Development,"Builds server-side systems, APIs, databases, and application services.",Authentication,Professional Skill,7,Important
